Robert,Aderholt,AL,Robert_Aderholt,R,robert_aderholt
Lamar,Alexander,TN,SenAlexander,S,lamar_alexander
Justin,Amash,MI,,R,justin_amash
Kelly,Ayotte,NH,KellyAyotte,S,kelly_ayotte
Mark,Amodei,NV,MarkAmodeiNV2,R,mark_amodei
Rick,Allen,GA,reprickallen,R,rick_allen
Ralph,Abraham,LA,RepAbraham,R,ralph_abraham
Joe,Barton,TX,RepJoeBarton,R,joe_barton
Roy,Blunt,MO,RoyBlunt,S,roy_blunt
Kevin,Brady,TX,RepKevinBrady,R,kevin_brady
Richard,Burr,NC,SenatorBurr,S,richard_burr
John,Boozman,AR,JohnBoozman,S,john_boozman
Marsha,Blackburn,TN,MarshaBlackburn,R,marsha_blackburn
Michael,Burgess,TX,MichaelCBurgess,R,michael_burgess
Rob,Bishop,UT,RepRobBishop,R,rob_bishop
Charles,Boustany,LA,RepBoustany,R,charles_boustany
Gus,Bilirakis,FL,RepGusBilirakis,R,gus_bilirakis
Vern,Buchanan,FL,VernBuchanan,R,vern_buchanan
John,Barrasso,WY,SenJohnBarrasso,S,john_barrasso
Lou,Barletta,PA,RepLouBarletta,R,lou_barletta
Dan,Benishek,MI,CongressmanDan,R,dan_benishek
Diane,Black,TN,RepDianeBlack,R,diane_black
Mo,Brooks,AL,RepMoBrooks,R,mo_brooks
Larry,Bucshon,IN,RepLarryBucshon,R,larry_bucshon
Garland,Barr,KY,RepAndyBarr,R,garland_barr
Jim,Bridenstine,OK,RepJBridenstine,R,jim_bridenstine
Susan,Brooks,IN,SusanWBrooks,R,susan_brooks
Bradley,Byrne,AL,RepByrne,R,bradley_byrne
David,Brat,VA,RepDaveBrat,R,david_brat
Brian,Babin,TX,RepBrianBabin,R,brian_babin
Mike,Bishop,MI,RepMikeBishop,R,mike_bishop
Rod,Blum,IA,RepRodBlum,R,rod_blum
Mike,Bost,IL,RepBost,R,mike_bost
Ken,Buck,CO,RepKenBuck,R,ken_buck
Ken,Calvert,CA,KenCalvert,R,ken_calvert
Steve,Chabot,OH,RepSteveChabot,R,steve_chabot
Daniel,Coats,IN,SenDanCoats,S,daniel_coats
Thad,Cochran,MS,SenThadCochran,S,thad_cochran
Michael,Crapo,ID,MikeCrapo,S,michael_crapo
Susan,Collins,ME,SenatorCollins,S,susan_collins
Ander,Crenshaw,FL,AnderCrenshaw,R,ander_crenshaw
Shelley,Capito,WV,SenCapito,S,shelley_capito
John,Culberson,TX,CongCulberson,R,john_culberson
John,Carter,TX,JudgeCarter,R,john_carter
Tom,Cole,OK,TomColeOK04,R,tom_cole
John,Cornyn,TX,JohnCornyn,S,john_cornyn
K.,Conaway,TX,ConawayTX11,R,k._conaway
Bob,Corker,TN,SenBobCorker,S,bob_corker
Bill,Cassidy,LA,,S,bill_cassidy
Jason,Chaffetz,UT,JasonInTheHouse,R,jason_chaffetz
Mike,Coffman,CO,RepMikeCoffman,R,mike_coffman
Eric,Crawford,AR,RepRickCrawford,R,eric_crawford
Chris,Collins,NY,RepChrisCollins,R,chris_collins
Doug,Collins,GA,RepDougCollins,R,doug_collins
Paul,Cook,CA,RepPaulCook,R,paul_cook
Tom,Cotton,AR,SenTomCotton,S,tom_cotton
Kevin,Cramer,ND,RepKevinCramer,R,kevin_cramer
Ted,Cruz,TX,SenTedCruz,S,ted_cruz
Curtis,Clawson,FL,RepCurtClawson,R,curtis_clawson
Buddy,Carter,GA,RepBuddyCarter,R,buddy_carter
Barbara,Comstock,VA,RepComstock,R,barbara_comstock
Ryan,Costello,PA,RepRyanCostello,R,ryan_costello
Carlos,Curbelo,FL,RepCurbelo,R,carlos_curbelo
John,Duncan,TN,RepJohnDuncanJr,R,john_duncan
Mario,Diaz-Balart,FL,MarioDB,R,mario_diaz-balart
Charles,Dent,PA,,R,charles_dent
Jeff,Denham,CA,RepJeffDenham,R,jeff_denham
Bob,Dold,IL,RepDold,R,bob_dold
Sean,Duffy,WI,RepSeanDuffy,R,sean_duffy
Jeff,Duncan,SC,RepJeffDuncan,R,jeff_duncan
Scott,DesJarlais,TN,DesJarlaisTN04,R,scott_desjarlais
Steve,Daines,MT,SteveDaines,S,steve_daines
Rodney,Davis,IL,RodneyDavis,R,rodney_davis
Ron,DeSantis,FL,RepDeSantis,R,ron_desantis
Daniel,Donovan,NY,RepDanDonovan,R,daniel_donovan
Warren,Davidson,OH,,R,warren_davidson
Michael,Enzi,WY,SenatorEnzi,S,michael_enzi
Renee,Ellmers,NC,RepReneeEllmers,R,renee_ellmers
Tom,Emmer,MN,RepTomEmmer,R,tom_emmer
Joni,Ernst,IA,SenJoniErnst,S,joni_ernst
Rodney,Frelinghuysen,NJ,USRepRodney,R,rodney_frelinghuysen
Jeff,Flake,AZ,JeffFlake,S,jeff_flake
J.,Forbes,VA,Randy_Forbes,R,j._forbes
Trent,Franks,AZ,RepTrentFranks,R,trent_franks
Jeff,Fortenberry,NE,JeffFortenberry,R,jeff_fortenberry
Virginia,Foxx,NC,VirginiaFoxx,R,virginia_foxx
Michael,Fitzpatrick,PA,RepFitzpatrick,R,michael_fitzpatrick
John,Fleming,LA,RepFleming,R,john_fleming
Stephen,Fincher,TN,RepFincherTN08,R,stephen_fincher
Charles,Fleischmann,TN,RepChuck,R,charles_fleischmann
Blake,Farenthold,TX,Farenthold,R,blake_farenthold
Bill,Flores,TX,RepBillFlores,R,bill_flores
Deb,Fischer,NE,SenatorFischer,S,deb_fischer
Bob,Goodlatte,VA,RepGoodlatte,R,bob_goodlatte
Lindsey,Graham,SC,GrahamBlog,S,lindsey_graham
Kay,Granger,TX,RepKayGranger,R,kay_granger
